DATE,HOUS448LFN
1990-01-01,1966455
1990-02-01,1971027
1990-03-01,1987424
1990-04-01,2003628
1990-05-01,2024329
1990-06-01,2064518
1990-07-01,2079500
1990-08-01,2064222
1990-09-01,2058282
1990-10-01,2057459
1990-11-01,2050634
1990-12-01,2057016
1991-01-01,2032186
1991-02-01,2035045
1991-03-01,2050449
1991-04-01,2064381
1991-05-01,2065690
1991-06-01,2115261
1991-07-01,2119116
1991-08-01,2099503
1991-09-01,2096764
1991-10-01,2099656
1991-11-01,2098045
1991-12-01,2095841
1992-01-01,2097821
1992-02-01,2096894
1992-03-01,2107458
1992-04-01,2116793
1992-05-01,2125505
1992-06-01,2173024
1992-07-01,2177855
1992-08-01,2157308
1992-09-01,2138929
1992-10-01,2133622
1992-11-01,2148941
1992-12-01,2148880
1993-01-01,2136454
1993-02-01,2134376
1993-03-01,2137009
1993-04-01,2140757
1993-05-01,2158872
1993-06-01,2200822
1993-07-01,2216021
1993-08-01,2197789
1993-09-01,2180761
1993-10-01,2194166
1993-11-01,2198370
1993-12-01,2198650
1994-01-01,2185707
1994-02-01,2187764
1994-03-01,2188795
1994-04-01,2196205
1994-05-01,2196900
1994-06-01,2218417
1994-07-01,2222758
1994-08-01,2219103
1994-09-01,2200483
1994-10-01,2220360
1994-11-01,2224939
1994-12-01,2218418
1995-01-01,2207348
1995-02-01,2205346
1995-03-01,2212396
1995-04-01,2221687
1995-05-01,2215818
1995-06-01,2247004
1995-07-01,2272218
1995-08-01,2252514
1995-09-01,2241492
1995-10-01,2252666
1995-11-01,2249063
1995-12-01,2244993
1996-01-01,2224930
1996-02-01,2234131
1996-03-01,2241796
1996-04-01,2240016
1996-05-01,2243595
1996-06-01,2265253
1996-07-01,2280833
1996-08-01,2256738
1996-09-01,2255921
1996-10-01,2273061
1996-11-01,2282994
1996-12-01,2278243
1997-01-01,2281351
1997-02-01,2283476
1997-03-01,2302613
1997-04-01,2291395
1997-05-01,2301768
1997-06-01,2326791
1997-07-01,2335856
1997-08-01,2322937
1997-09-01,2316456
1997-10-01,2316356
1997-11-01,2320841
1997-12-01,2321544
1998-01-01,2318041
1998-02-01,2323290
1998-03-01,2344638
1998-04-01,2334802
1998-05-01,2349755
1998-06-01,2382663
1998-07-01,2395064
1998-08-01,2383378
1998-09-01,2382432
1998-10-01,2380083
1998-11-01,2382543
1998-12-01,2394175
1999-01-01,2374497
1999-02-01,2375166
1999-03-01,2383876
1999-04-01,2372622
1999-05-01,2384757
1999-06-01,2411783
1999-07-01,2415596
1999-08-01,2400385
1999-09-01,2405425
1999-10-01,2403651
1999-11-01,2409002
1999-12-01,2415793
2000-01-01,2376420
2000-02-01,2389064
2000-03-01,2394513
2000-04-01,2389575
2000-05-01,2369503
2000-06-01,2382958
2000-07-01,2376996
2000-08-01,2368258
2000-09-01,2371627
2000-10-01,2385462
2000-11-01,2394194
2000-12-01,2400759
2001-01-01,2402136
2001-02-01,2410109
2001-03-01,2418575
2001-04-01,2418524
2001-05-01,2412622
2001-06-01,2428454
2001-07-01,2441376
2001-08-01,2414338
2001-09-01,2436814
2001-10-01,2446740
2001-11-01,2456759
2001-12-01,2466796
2002-01-01,2454855
2002-02-01,2479584
2002-03-01,2475967
2002-04-01,2480666
2002-05-01,2483848
2002-06-01,2512762
2002-07-01,2512275
2002-08-01,2504527
2002-09-01,2510031
2002-10-01,2517169
2002-11-01,2513748
2002-12-01,2524695
2003-01-01,2528749
2003-02-01,2533470
2003-03-01,2529889
2003-04-01,2533887
2003-05-01,2526272
2003-06-01,2557904
2003-07-01,2542677
2003-08-01,2534882
2003-09-01,2529947
2003-10-01,2533879
2003-11-01,2540036
2003-12-01,2542272
2004-01-01,2544714
2004-02-01,2545252
2004-03-01,2553427
2004-04-01,2537527
2004-05-01,2538100
2004-06-01,2555850
2004-07-01,2564393
2004-08-01,2545147
2004-09-01,2544118
2004-10-01,2560416
2004-11-01,2573884
2004-12-01,2577018
2005-01-01,2561503
2005-02-01,2567306
2005-03-01,2564899
2005-04-01,2562758
2005-05-01,2567619
2005-06-01,2581731
2005-07-01,2588260
2005-08-01,2591873
2005-09-01,2616782
2005-10-01,2630713
2005-11-01,2639579
2005-12-01,2642259
2006-01-01,2626050
2006-02-01,2638529
2006-03-01,2640467
2006-04-01,2634635
2006-05-01,2639569
2006-06-01,2658085
2006-07-01,2668899
2006-08-01,2666952
2006-09-01,2669828
2006-10-01,2685910
2006-11-01,2694826
2006-12-01,2692800
2007-01-01,2678272
2007-02-01,2672780
2007-03-01,2678269
2007-04-01,2673883
2007-05-01,2678834
2007-06-01,2712274
2007-07-01,2727584
2007-08-01,2705151
2007-09-01,2717816
2007-10-01,2721852
2007-11-01,2737380
2007-12-01,2733348
2008-01-01,2727073
2008-02-01,2720574
2008-03-01,2732922
2008-04-01,2745342
2008-05-01,2752074
2008-06-01,2780924
2008-07-01,2800630
2008-08-01,2786526
2008-09-01,2775591
2008-10-01,2803166
2008-11-01,2804157
2008-12-01,2802115
2009-01-01,2793194
2009-02-01,2796383
2009-03-01,2795066
2009-04-01,2795730
2009-05-01,2821185
2009-06-01,2856269
2009-07-01,2874850
2009-08-01,2852526
2009-09-01,2849033
2009-10-01,2848966
2009-11-01,2851342
2009-12-01,2843738
2010-01-01,2921245
2010-02-01,2930054
2010-03-01,2939866
2010-04-01,2970610
2010-05-01,2963345
2010-06-01,2970638
2010-07-01,2989165
2010-08-01,2985150
2010-09-01,2991652
2010-10-01,2985355
2010-11-01,2998997
2010-12-01,2997072
2011-01-01,3002672
2011-02-01,3008474
2011-03-01,3018143
2011-04-01,3022838
2011-05-01,3027838
2011-06-01,3047047
2011-07-01,3050950
2011-08-01,3044277
2011-09-01,3064965
2011-10-01,3067280
2011-11-01,3067937
2011-12-01,3071651
2012-01-01,3063751
2012-02-01,3078856
2012-03-01,3086695
2012-04-01,3081644
2012-05-01,3100188
2012-06-01,3121939
2012-07-01,3131112
2012-08-01,3110437
2012-09-01,3133286
2012-10-01,3147236
2012-11-01,3140751
2012-12-01,3151152
2013-01-01,3154142
2013-02-01,3161410
2013-03-01,3159737
2013-04-01,3169491
2013-05-01,3184540
2013-06-01,3196569
2013-07-01,3203562
2013-08-01,3184283
2013-09-01,3195171
2013-10-01,3181404
2013-11-01,3200924
2013-12-01,3199406
2014-01-01,3204466
2014-02-01,3222246
2014-03-01,3233075
2014-04-01,3219359
2014-05-01,3233677
2014-06-01,3242326
2014-07-01,3260684
2014-08-01,3244163
2014-09-01,3249481
2014-10-01,3257802
2014-11-01,3260536
2014-12-01,3248296
2015-01-01,3251236
2015-02-01,3250703
2015-03-01,3246013
2015-04-01,3250224
2015-05-01,3258692
2015-06-01,3256619
2015-07-01,3264957
2015-08-01,3249752
2015-09-01,3247000
2015-10-01,3255162
2015-11-01,3265937
2015-12-01,3266522
2016-01-01,3269499
2016-02-01,3282635
2016-03-01,3289878
2016-04-01,3285983
2016-05-01,3281256
2016-06-01,3300074
2016-07-01,3314469
2016-08-01,3295799
2016-09-01,3305344
2016-10-01,3296184
2016-11-01,3298342
2016-12-01,3297292
2017-01-01,3304468
2017-02-01,3321520
2017-03-01,3322928
2017-04-01,3323912
2017-05-01,3314891
2017-06-01,3327807
2017-07-01,3338158
2017-08-01,3321027
2017-09-01,3338453
2017-10-01,3317087
2017-11-01,3340160
2017-12-01,3343410
2018-01-01,3349883
2018-02-01,3393697
2018-03-01,3395174
2018-04-01,3410234
2018-05-01,3396897
2018-06-01,3411756
2018-07-01,3418897
2018-08-01,3392775
2018-09-01,3405254
2018-10-01,3422076
2018-11-01,3442623
