DATE,BPPRIV048039,BPPRIV048291,BPPRIV048071,BPPRIV048201,BPPRIV048473,BPPRIV048167,BPPRIV048157,BPPRIV048015,BPPRIV048339,Total_Units
01 01 1990,940,174,21,10151,4,982,989,11,49,13321
01 01 1991,952,155,78,12647,9,1052,724,14,1603,17234
01 01 1992,1463,175,125,12558,18,1514,798,26,1850,18527
01 01 1993,1388,213,182,13222,92,1698,579,34,2264,19672
01 01 1994,1198,262,176,15855,110,1317,743,32,2820,22513
01 01 1995,1366,294,145,14093,49,1490,1451,24,2794,21706
01 01 1996,1730,244,183,14492,73,1512,2271,27,3613,24145
01 01 1997,1780,265,128,23006,94,1450,1290,28,4320,32361
01 01 1998,2632,389,171,35406,26,1776,1792,29,4672,46893
01 01 1999,1983,362,213,25862,69,2107,1160,30,4919,36705
01 01 2000,2085,213,309,24565,287,2931,1313,114,4197,36014
01 01 2001,2405,212,326,26419,188,2554,1348,38,4117,37607
01 01 2002,3081,235,270,34339,214,2739,1130,51,5033,47092
01 01 2003,3191,258,419,40983,206,3193,1950,45,6313,56558
01 01 2004,4367,263,571,36395,213,3059,4152,28,6977,56025
01 01 2005,4688,287,517,41506,219,3318,4097,49,7441,62122
01 01 2006,3589,293,368,46455,245,3041,8796,44,8885,71716
01 01 2007,3761,251,457,40238,184,2816,7902,54,7611,63274
01 01 2008,2127,240,316,27877,110,1684,5887,46,4437,42724
01 01 2009,2293,231,409,14142,36,1455,5425,34,3301,27326
01 01 2010,1979,269,226,15039,59,1971,4954,21,2932,27450
01 01 2011,1941,260,216,17338,37,1853,5598,17,4009,31269
01 01 2012,2358,169,293,27154,71,1967,6724,21,4526,43283
01 01 2013,2088,175,314,30998,73,2176,9134,30,6340,51328
01 01 2014,3476,300,377,40060,82,3006,9268,27,7145,63741
01 01 2015,3365,306,317,33975,170,2447,9278,19,7024,56901
01 01 2016,2930,456,295,22661,305,2241,10279,28,5537,44732
01 01 2017,3138,546,526,22818,108,2129,7802,34,5294,42395
