DATE,ATNHPIUS26420Q
01 01 1976,51.59
01 04 1976,58.33
01 07 1976,57.98
01 10 1976,57.8
01 01 1977,59.92
01 04 1977,65.92
01 07 1977,64.22
01 10 1977,67.65
01 01 1978,69.44
01 04 1978,74.68
01 07 1978,73.43
01 10 1978,76.89
01 01 1979,78.71
01 04 1979,83.08
01 07 1979,84.68
01 10 1979,85.95
01 01 1980,88.03
01 04 1980,91.93
01 07 1980,90.9
01 10 1980,92.8
01 01 1981,89.82
01 04 1981,96.01
01 07 1981,97.57
01 10 1981,100.37
01 01 1982,106.2
01 04 1982,107.95
01 07 1982,105.64
01 10 1982,107.81
01 01 1983,107.81
01 04 1983,108.4
01 07 1983,107.63
01 10 1983,106.76
01 01 1984,103.45
01 04 1984,103.37
01 07 1984,103.95
01 10 1984,101.38
01 01 1985,97.99
01 04 1985,95.84
01 07 1985,94.32
01 10 1985,92.14
01 01 1986,93.16
01 04 1986,94.4
01 07 1986,92.6
01 10 1986,88.22
01 01 1987,88.1
01 04 1987,86.56
01 07 1987,83.77
01 10 1987,81.55
01 01 1988,81.87
01 04 1988,84.32
01 07 1988,85.05
01 10 1988,85.59
01 01 1989,86.37
01 04 1989,88.45
01 07 1989,90.37
01 10 1989,90.89
01 01 1990,91.49
01 04 1990,92.52
01 07 1990,93.75
01 10 1990,93.56
01 01 1991,94.46
01 04 1991,95.65
01 07 1991,96.22
01 10 1991,97.18
01 01 1992,98.89
01 04 1992,98.42
01 07 1992,100.17
01 10 1992,100.07
01 01 1993,100.39
01 04 1993,100.87
01 07 1993,101.68
01 10 1993,102.25
01 01 1994,102.25
01 04 1994,101.7
01 07 1994,101.66
01 10 1994,100.26
01 01 1995,100
01 04 1995,101.66
01 07 1995,102.15
01 10 1995,102.74
01 01 1996,104.23
01 04 1996,103.74
01 07 1996,103.99
01 10 1996,104.63
01 01 1997,104.47
01 04 1997,106.25
01 07 1997,107.28
01 10 1997,108.45
01 01 1998,110.87
01 04 1998,111.98
01 07 1998,114.3
01 10 1998,115.72
01 01 1999,117.27
01 04 1999,120.24
01 07 1999,123.21
01 10 1999,125.77
01 01 2000,127.28
01 04 2000,129.24
01 07 2000,130.99
01 10 2000,132.03
01 01 2001,136.29
01 04 2001,137.75
01 07 2001,139.6
01 10 2001,140.99
01 01 2002,141.7
01 04 2002,143.46
01 07 2002,145.22
01 10 2002,147.35
01 01 2003,148.42
01 04 2003,149.34
01 07 2003,150.23
01 10 2003,151.72
01 01 2004,153.29
01 04 2004,154.64
01 07 2004,156.71
01 10 2004,157.68
01 01 2005,160.18
01 04 2005,161.23
01 07 2005,163.58
01 10 2005,166.16
01 01 2006,168.72
01 04 2006,171.26
01 07 2006,173.68
01 10 2006,175.02
01 01 2007,177.35
01 04 2007,180.2
01 07 2007,180.97
01 10 2007,182.14
01 01 2008,184.21
01 04 2008,184.78
01 07 2008,185.95
01 10 2008,185.61
01 01 2009,188.25
01 04 2009,186.74
01 07 2009,185.45
01 10 2009,185.03
01 01 2010,183.81
01 04 2010,184.16
01 07 2010,184.73
01 10 2010,184.43
01 01 2011,181.18
01 04 2011,180.73
01 07 2011,182.16
01 10 2011,182.69
01 01 2012,183.83
01 04 2012,186.28
01 07 2012,187.68
01 10 2012,189.81
01 01 2013,191.83
01 04 2013,195.45
01 07 2013,200.49
01 10 2013,204.99
01 01 2014,209.22
01 04 2014,216.87
01 07 2014,224.38
01 10 2014,227.58
01 01 2015,230.06
01 04 2015,237.22
01 07 2015,240.39
01 10 2015,241.48
01 01 2016,242.53
01 04 2016,247.21
01 07 2016,250.47
01 10 2016,252.91
01 01 2017,253.99
01 04 2017,261.62
01 07 2017,261.8
01 10 2017,267.27
01 01 2018,269.21
01 04 2018,277.06
01 07 2018,281.09
