DATE,Houston Unemployment
1/1/1990,4.966666667
4/1/1990,5
7/1/1990,5.333333333
10/1/1990,5.066666667
1/1/1991,5.433333333
4/1/1991,5.566666667
7/1/1991,5.966666667
10/1/1991,5.966666667
1/1/1992,6.966666667
4/1/1992,7.166666667
7/1/1992,7.533333333
10/1/1992,7.133333333
1/1/1993,7.533333333
4/1/1993,7.466666667
7/1/1993,7.533333333
10/1/1993,7
1/1/1994,7.133333333
4/1/1994,6.833333333
7/1/1994,6.8
10/1/1994,5.833333333
1/1/1995,5.8
4/1/1995,6.066666667
7/1/1995,6.333333333
10/1/1995,5.6
1/1/1996,5.7
4/1/1996,5.6
7/1/1996,5.533333333
10/1/1996,5.233333333
1/1/1997,5.733333333
4/1/1997,5.466666667
7/1/1997,5.333333333
10/1/1997,4.4
1/1/1998,4.533333333
4/1/1998,4.466666667
7/1/1998,4.6
10/1/1998,3.933333333
1/1/1999,4.3
4/1/1999,4.866666667
7/1/1999,5.233333333
10/1/1999,4.633333333
1/1/2000,4.666666667
4/1/2000,4.333333333
7/1/2000,4.366666667
10/1/2000,3.633333333
1/1/2001,3.933333333
4/1/2001,4.433333333
7/1/2001,5
10/1/2001,5.066666667
1/1/2002,5.733333333
4/1/2002,6.1
7/1/2002,6.3
10/1/2002,6
1/1/2003,6.6
4/1/2003,6.933333333
7/1/2003,7
10/1/2003,6.266666667
1/1/2004,6.366666667
4/1/2004,6.2
7/1/2004,6.133333333
10/1/2004,5.8
1/1/2005,5.733333333
4/1/2005,5.4
7/1/2005,5.6
10/1/2005,5.566666667
1/1/2006,5.433333333
4/1/2006,5.166666667
7/1/2006,5.066666667
10/1/2006,4.233333333
1/1/2007,4.333333333
4/1/2007,4.1
7/1/2007,4.366666667
10/1/2007,4.033333333
1/1/2008,4.266666667
4/1/2008,4.333333333
7/1/2008,5
10/1/2008,5.2
1/1/2009,6.266666667
4/1/2009,7.266666667
7/1/2009,8.533333333
10/1/2009,8.233333333
1/1/2010,8.533333333
4/1/2010,8.166666667
7/1/2010,8.3
10/1/2010,8.033333333
1/1/2011,8.033333333
4/1/2011,7.866666667
7/1/2011,8.1
10/1/2011,7.2
1/1/2012,6.966666667
4/1/2012,6.7
7/1/2012,6.7
10/1/2012,6
1/1/2013,6.333333333
4/1/2013,6.1
7/1/2013,6.166666667
10/1/2013,5.5
1/1/2014,5.4
4/1/2014,4.933333333
7/1/2014,5.2
10/1/2014,4.333333333
1/1/2015,4.433333333
4/1/2015,4.433333333
7/1/2015,4.833333333
10/1/2015,4.7
1/1/2016,4.866666667
4/1/2016,5.1
7/1/2016,5.8
10/1/2016,5.3
1/1/2017,5.533333333
4/1/2017,4.9
7/1/2017,5
10/1/2017,4.366666667
1/1/2018,4.7
4/1/2018,4.333333333
7/1/2018,4.266666667
10/1/2018,.
